Transaction Date,Post Date,Description,Category,Type,Amount,Memo
7/3/2025,7/4/2025,TST*MOSCOW ON THE HILL,Food & Drink,Sale,-51.75,
7/3/2025,7/4/2025,TARGET        00000687,Shopping,Sale,-19.74,
7/3/2025,7/4/2025,149 GREAT CLIPS AT BERGEN,Health & Wellness,Sale,-25,
7/2/2025,7/3/2025,SPEEDWAY 46494,Gas,Sale,-13.22,
7/3/2025,7/3/2025,PUBLIC STORAGE 25562,Bills & Utilities,Sale,-64,
7/1/2025,7/3/2025,MENARDS 3385,Shopping,Sale,-10.07,
7/1/2025,7/3/2025,TST*THE GNOME,Food & Drink,Sale,-97.34,
7/2/2025,7/3/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
7/1/2025,7/2/2025,GEICO  *AUTO,Bills & Utilities,Sale,-90.17,
6/30/2025,7/1/2025,HOMEY GNOME VETERINARY C,Pets,Sale,-503.85,
6/29/2025,6/30/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-34.06,
6/29/2025,6/30/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
6/29/2025,6/30/2025,WL *STEAM PURCHASE,Entertainment,Sale,-14.72,
6/28/2025,6/29/2025,CUB FOODS #01591,Groceries,Sale,-19.85,
6/28/2025,6/29/2025,CUB LIQUOR #01590,Groceries,Sale,-37.68,
6/26/2025,6/29/2025,STARBUCKS STORE 27985,Food & Drink,Sale,-21.94,
6/26/2025,6/29/2025,FRESH THYME #507,Groceries,Sale,-33.35,
6/27/2025,6/29/2025,O'REILLY 3290,Automotive,Sale,-210.66,
6/27/2025,6/29/2025,KWIK TRIP #166,Gas,Sale,-17.04,
6/27/2025,6/29/2025,KWIK TRIP #166,Gas,Sale,-84.58,
6/27/2025,6/29/2025,TST*SIR BENEDICTS TAVERN,Food & Drink,Sale,-32.46,
6/25/2025,6/27/2025,KWIK TRIP #1205,Gas,Sale,-44.09,
6/25/2025,6/27/2025,KWIK TRIP #1205,Gas,Sale,-17.57,
6/25/2025,6/27/2025,UW MADISON WISC UNION,Shopping,Sale,-3.8,
6/25/2025,6/26/2025,DKC*DIGI KEY CORP,Shopping,Sale,-38.53,
6/24/2025,6/26/2025,HARLEY`S BALT &amp; LIQUOR,Food & Drink,Sale,-32.68,
6/25/2025,6/26/2025,UW TS PARKING RAMP EMV,Travel,Sale,-7,
6/25/2025,6/26/2025,TST*MADISON SOURDOUGH,Food & Drink,Sale,-18.83,
6/25/2025,6/26/2025,CHEWY.COM,Pets,Sale,-59.58,
6/25/2025,6/25/2025,AXS.COMFIRST AVENUE,Entertainment,Sale,-75.85,
6/24/2025,6/25/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
6/22/2025,6/24/2025,TST*THE TAVERN GRILL WOO,Food & Drink,Sale,-45.66,
6/21/2025,6/23/2025,EWR CUSTOM BURGERS C1,Food & Drink,Sale,-27.45,
6/22/2025,6/23/2025,HERTZ CAR RENTAL,Travel,Sale,-494.97,
6/22/2025,6/23/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
6/22/2025,6/23/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-33.94,
6/22/2025,6/23/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.02,
6/21/2025,6/23/2025,SUNOCO 0368302601,Gas,Sale,-8.07,
6/21/2025,6/22/2025,SUNOCO 8000011302,Gas,Sale,-27.48,
6/20/2025,6/22/2025,JOE CANALS DISCOUNT LIQUO,Food & Drink,Sale,-29.79,
6/21/2025,6/22/2025,Amazon.com*NQ1NH1OU2,Shopping,Sale,-10.83,
6/19/2025,6/22/2025,SUNOCO 8000011302,Gas,Sale,-17.12,
6/21/2025,6/22/2025,ASBURY PARK PAY STATIONS,Travel,Sale,-10,
6/18/2025,6/20/2025,ISAAC NEWTONS BAR &amp; RE,Food & Drink,Sale,-45.29,
6/19/2025,6/20/2025,NJ EZPASS,Travel,Sale,-25,
6/19/2025,6/20/2025,SUNOCO 8000011302,Gas,Sale,-12.83,
6/19/2025,6/20/2025,JOE CANALS DISCOUNT LIQUO,Food & Drink,Sale,-39.42,
6/19/2025,6/20/2025,EVERAI,Shopping,Sale,-12.99,
6/18/2025,6/19/2025,TST* TACORIA- PRINCETON,Food & Drink,Sale,-20.01,
6/17/2025,6/19/2025,BARNES &amp; NOBLE #2368,Shopping,Sale,-43.71,
6/18/2025,6/19/2025,TERAKAWA RAMEN,Food & Drink,Sale,-62.78,
6/17/2025,6/18/2025,SUNOCO 8000011302,Gas,Sale,-12.83,
6/15/2025,6/17/2025,REI #161 PRINCETON,Shopping,Sale,-39.45,
6/16/2025,6/17/2025,TST* TACORIA- PRINCETON,Food & Drink,Sale,-37.58,
6/16/2025,6/17/2025,SUNOCO 8000011302,Gas,Sale,-12.83,
6/16/2025,6/17/2025,ROOTS,Food & Drink,Sale,-38.39,
6/15/2025,6/16/2025,SHOPRITE LAWRNCVLLE S1,Groceries,Sale,-14.6,
6/15/2025,6/16/2025,SHOPRITE LAWRNCVLLE S1,Groceries,Sale,-53.83,
6/14/2025,6/16/2025,MINNEAPOLIS AIRPORT,Food & Drink,Sale,-6.18,
6/13/2025,6/15/2025,TST* FOODSMITH,Food & Drink,Sale,-56.77,
6/14/2025,6/15/2025,TST* CARIBOU COFFEE - 132,Food & Drink,Sale,-4.69,
6/13/2025,6/15/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
6/14/2025,6/15/2025,SATURN PIZZA PRINCETON,Food & Drink,Sale,-17.49,
6/14/2025,6/15/2025,MCDONALD'S F36622,Food & Drink,Sale,-11.95,
6/13/2025,6/15/2025,UNITED      0164304902994,Travel,Sale,-40,
6/11/2025,6/13/2025,ROVER.COM* PET SVCS.,Pets,Return,56.35,
6/12/2025,6/13/2025,SPO*O'SHAUGHNESSYDISTILLI,Food & Drink,Sale,-61.34,
6/11/2025,6/12/2025,TST*SURLY BREWING COMPAN,Food & Drink,Sale,-35.83,
6/11/2025,6/12/2025,SUNSHINE FACTORY BAR &amp;,Food & Drink,Sale,-15.63,
6/11/2025,6/12/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
6/11/2025,6/12/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
6/11/2025,6/12/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-27.47,
6/10/2025,6/11/2025,CHEWY.COM,Pets,Sale,-128.42,
6/9/2025,6/11/2025,WHOLEFDS WBY#10628,Food & Drink,Sale,-15.25,
6/10/2025,6/11/2025,HOLIDAY STATIONS 0434,Gas,Sale,-15,
6/10/2025,6/11/2025,AMAZON MKTPL*NA43894S2,Shopping,Sale,-9.1,
6/9/2025,6/10/2025,WHOLEFDS WBY#10628,Groceries,Sale,-13.66,
6/8/2025,6/9/2025,SPEEDWAY 04340,Gas,Sale,-11.49,
6/7/2025,6/9/2025,KWIK TRIP #1078,Gas,Sale,-31.14,
6/8/2025,6/9/2025,TST* CARIBOU COFFEE - 132,Food & Drink,Sale,-4.25,
6/7/2025,6/9/2025,APPLE.COM/BILL,Shopping,Sale,-10.54,
6/8/2025,6/9/2025,TST* WASHINGTON SQUARE BA,Food & Drink,Sale,-42.08,
6/5/2025,6/8/2025,TST*UTEPILS BREWING,Food & Drink,Sale,-15.79,
6/6/2025,6/8/2025,TST* CARIBOU COFFEE - 131,Food & Drink,Sale,-4.58,
6/6/2025,6/8/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
6/6/2025,6/8/2025,STARBUCKS STORE 02318,Food & Drink,Sale,-3.54,
6/7/2025,6/8/2025,AMAZON MKTPL*N66LE0YB1,Shopping,Sale,-19.91,
6/6/2025,6/8/2025,ROSEVILLE VFW POST 7555,Food & Drink,Sale,-69.76,
6/6/2025,6/8/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-30,
6/5/2025,6/6/2025,VE ST PAUL,Entertainment,Sale,-86.8,
6/5/2025,6/6/2025,TST* CARIBOU COFFEE - 132,Food & Drink,Sale,-4.69,
6/4/2025,6/5/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
6/4/2025,6/5/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-108.92,
6/3/2025,6/4/2025,WL *Steam Purchase,Entertainment,Sale,-5.26,
6/3/2025,6/4/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-46.74,
6/3/2025,6/4/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-35.82,
6/2/2025,6/3/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-24.25,
6/2/2025,6/3/2025,BESTBUY.COM   00009944,Shopping,Sale,-7.61,
6/1/2025,6/3/2025,THE LEXINGTON,Food & Drink,Sale,-39.52,
5/31/2025,6/3/2025,RIVER SIREN BREWING CO,Food & Drink,Sale,-10.87,
6/2/2025,6/3/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-5.76,
6/3/2025,6/3/2025,PUBLIC STORAGE 25562,Bills & Utilities,Sale,-64,
6/1/2025,6/2/2025,TST* CITY HOUSE,Food & Drink,Sale,-15.58,
6/1/2025,6/2/2025,TST* CITY HOUSE,Food & Drink,Sale,-9.93,
6/1/2025,6/2/2025,TST* CITY HOUSE,Food & Drink,Sale,-9.93,
6/1/2025,6/2/2025,TST* CITY HOUSE,Food & Drink,Sale,-9.93,
6/1/2025,6/2/2025,GEICO  *AUTO,Bills & Utilities,Sale,-90.17,
6/1/2025,6/1/2025,ANNUAL MEMBERSHIP FEE,Bills & Utilities,Fee,-95,
5/31/2025,6/1/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-2.73,
5/31/2025,6/1/2025,MUSKIE 5K FUN RUN,Entertainment,Sale,-39.44,
5/30/2025,6/1/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
5/30/2025,6/1/2025,FTD* FTD.COM,Shopping,Sale,-81.27,
5/30/2025,6/1/2025,TST* CARIBOU COFFEE - 131,Food & Drink,Sale,-4.58,
5/31/2025,6/1/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
5/28/2025,5/30/2025,M&amp;H #26,Gas,Sale,-12.98,
5/29/2025,5/30/2025,CHEWY.COM,Pets,Sale,-245.15,
5/29/2025,5/30/2025,TST* ST PAUL BREWING,Food & Drink,Sale,-7.67,
5/29/2025,5/30/2025,TST* ST PAUL BREWING,Food & Drink,Sale,-19.56,
5/29/2025,5/30/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-18.46,
5/28/2025,5/30/2025,SPO*TAQUERIALOSOCAMPO-ARC,Food & Drink,Sale,-49.31,
5/27/2025,5/29/2025,KWIK TRIP #1078,Gas,Sale,-34.98,
5/28/2025,5/29/2025,TST* WHITEYS OLD TOWN SAL,Food & Drink,Sale,-19.17,
5/27/2025,5/28/2025,MPLS,Travel,Sale,-0.75,
5/27/2025,5/28/2025,VE MINNEAPOLIS,Entertainment,Sale,-25.01,
5/27/2025,5/28/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-31.6,
5/27/2025,5/28/2025,ROVER.COM* PET SVCS.,Pets,Sale,-225.37,
5/26/2025,5/27/2025,SPEEDWAY 04340,Gas,Sale,-11.49,
5/25/2025,5/27/2025,REI #42 ROSEVILLE,Shopping,Sale,-198.89,
5/26/2025,5/27/2025,LUNDS&amp;BYERLYS HIGHL,Groceries,Sale,-34.09,
5/26/2025,5/27/2025,HASKELLS ST PAUL,Food & Drink,Sale,-20.22,
5/26/2025,5/27/2025,TST* CARIBOU COFFEE - 144,Food & Drink,Sale,-4.24,
5/26/2025,5/27/2025,TST* WASHINGTON SQUARE BA,Food & Drink,Sale,-18.73,
5/25/2025,5/26/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.02,
5/25/2025,5/26/2025,SPEEDWAY 04340,Gas,Sale,-11.49,
5/23/2025,5/25/2025,FIRST AVENUE,Food & Drink,Sale,-13.75,
5/23/2025,5/25/2025,MENS WEARHOUSE #4107,Shopping,Sale,-184.96,
5/23/2025,5/25/2025,FIRST AVENUE,Food & Drink,Sale,-27.5,
5/23/2025,5/25/2025,KWIK TRIP #1078,Gas,Sale,-12.7,
5/23/2025,5/25/2025,TST*COBBLE SOCIAL HOUSE,Food & Drink,Sale,-173.97,
5/23/2025,5/25/2025,KWIK TRIP #1078,Gas,Sale,-35.13,
5/23/2025,5/25/2025,60059 - CITY CENTER RAMP,Travel,Sale,-30,
5/22/2025,5/25/2025,TST*UTEPILS BREWING,Food & Drink,Sale,-21.41,
5/24/2025,5/25/2025,VE BLOOMINGTON,Entertainment,Sale,-23.99,
5/23/2025,5/25/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-14.59,
5/22/2025,5/23/2025,AXS.COMFIRST AVENUE,Entertainment,Sale,-26.88,
5/22/2025,5/23/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-32.53,
5/22/2025,5/23/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-15,
5/22/2025,5/23/2025,CAB STORE WOODBURY  MN,Shopping,Sale,-43.54,
5/21/2025,5/22/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-18.53,
5/20/2025,5/22/2025,TST*THE TAVERN GRILL WOO,Food & Drink,Sale,-8.74,
5/21/2025,5/22/2025,149 GREAT CLIPS AT BERGEN,Health & Wellness,Sale,-27,
5/21/2025,5/22/2025,ALLIANT ENERGY - WPL,Bills & Utilities,Sale,-13.72,
5/20/2025,5/22/2025,THE HOME DEPOT #2810,Shopping,Sale,-7.25,
5/20/2025,5/21/2025,SPEEDWAY 04340,Gas,Sale,-11.49,
5/20/2025,5/21/2025,NIC*WOODBURYCTR,Bills & Utilities,Sale,-180.81,
5/19/2025,5/20/2025,EVERAI,Shopping,Sale,-12.99,
5/19/2025,5/20/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-33.69,
5/19/2025,5/20/2025,CECIL'S,Food & Drink,Sale,-41.54,
5/17/2025,5/19/2025,BAUERNHOF KLAUSE BK TAP,Food & Drink,Sale,-46.06,
5/18/2025,5/19/2025,PANERA BREAD #601319 K,Food & Drink,Sale,-18.8,
5/17/2025,5/19/2025,BARNES &amp; NOBLE #3317,Shopping,Sale,-89.27,
5/15/2025,5/18/2025,TST*THE TAVERN GRILL WOO,Food & Drink,Sale,-18.12,
5/17/2025,5/18/2025,SPEEDWAY 04267,Gas,Sale,-11.39,
5/17/2025,5/18/2025,SIERRA #0058,Shopping,Sale,-7.61,
5/17/2025,5/18/2025,CUB FOODS,Groceries,Sale,-16.97,
5/17/2025,5/18/2025,CUB FOODS,Groceries,Sale,-24.16,
5/16/2025,5/18/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-20.04,
5/16/2025,5/18/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-66.03,
5/15/2025,5/16/2025,GAP US 480,Shopping,Return,41.97,
5/15/2025,5/16/2025,ULTRASIGNUP,Running,Sale,-157.65,
5/15/2025,5/16/2025,WHOLEFDS WBY#10628,Groceries,Sale,-27.98,
5/15/2025,5/16/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
5/15/2025,5/16/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-16.04,
5/15/2025,5/16/2025,GAP US 480,Shopping,Sale,-86.34,
5/15/2025,5/16/2025,GAP US 480,Shopping,Sale,-41.97,
5/14/2025,5/15/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
5/14/2025,5/15/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-31.93,
5/13/2025,5/15/2025,Union 32 Craft House,Food & Drink,Sale,-74.67,
5/14/2025,5/15/2025,CHEWY.COM,Pets,Sale,-91.2,
5/13/2025,5/14/2025,TST* THE HEN &amp; THE HOG RE,Food & Drink,Sale,-7.83,
5/13/2025,5/14/2025,SP KAROL COFFEE CO.,Groceries,Sale,-5.2,
5/13/2025,5/14/2025,SP KAROL COFFEE CO.,Groceries,Sale,-9.74,
5/10/2025,5/13/2025,11TH ST UNDER RAMP 8088,Travel,Sale,-11,
5/11/2025,5/12/2025,CUB FOODS #01591,Groceries,Sale,-10.83,
5/11/2025,5/12/2025,CUB FOODS - OAKDALE,Groceries,Sale,-8.18,
5/10/2025,5/11/2025,CUB FOODS #01591,Groceries,Sale,-28.11,
5/9/2025,5/11/2025,TARGET        00006940,Shopping,Sale,-49.93,
5/9/2025,5/11/2025,ELEPHANT THAI CUISINE,Food & Drink,Sale,-62.01,
5/9/2025,5/11/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-38.92,
5/9/2025,5/11/2025,GALLAGHERS BAR AND GRILL,Food & Drink,Sale,-33.84,
5/9/2025,5/11/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-31.16,
5/6/2025,5/8/2025,REI #42 ROSEVILLE,Shopping,Return,9.38,
5/7/2025,5/8/2025,APPLE.COM/BILL,Shopping,Sale,-10.54,
5/7/2025,5/8/2025,WL *STEAM PURCHASE,Entertainment,Sale,-2.4,
5/6/2025,5/8/2025,MENARDS 3385,Shopping,Sale,-14.73,
5/6/2025,5/7/2025,PROPERTYREC.COM,Shopping,Sale,-20,
5/5/2025,5/6/2025,WL *Steam Purchase,Entertainment,Sale,-21.17,
5/5/2025,5/6/2025,CUB LIQUOR #01590,Groceries,Sale,-18.84,
5/5/2025,5/6/2025,CUB FOODS #01591,Groceries,Sale,-37.18,
5/5/2025,5/6/2025,ALLIANT ENERGY - WPL,Bills & Utilities,Sale,-39.1,
5/4/2025,5/5/2025,LinkedInPreB *94001126,Bills & Utilities,Sale,-195.88,
5/3/2025,5/4/2025,CUB FOODS WOODBURY,Groceries,Sale,-92.86,
5/3/2025,5/4/2025,PUBLIC STORAGE 25562,Bills & Utilities,Sale,-64,
5/3/2025,5/4/2025,JOANN STORES #1902,Shopping,Sale,-4.47,
5/3/2025,5/4/2025,TST* CARIBOU COFFEE - 132,Food & Drink,Sale,-4.69,
5/1/2025,5/4/2025,TST*THE TAVERN GRILL WOO,Food & Drink,Sale,-19.48,
5/1/2025,5/4/2025,THE HOME DEPOT #2810,Shopping,Sale,-65.26,
5/2/2025,5/4/2025,SPOT,Shopping,Sale,-16.27,
5/3/2025,5/4/2025,NEW WOODBURY CUB WI,Groceries,Sale,-104.2,
5/2/2025,5/4/2025,TST* CARIBOU COFFEE - 132,Food & Drink,Sale,-6.21,
4/30/2025,5/2/2025,WIDMERS SUPER MARKE,Groceries,Sale,-42.47,
5/1/2025,5/2/2025,GEICO  *AUTO,Bills & Utilities,Sale,-90.17,
5/1/2025,5/2/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-9.48,
5/1/2025,5/2/2025,TST*HANDSOME HOG,Food & Drink,Sale,-37.68,
4/30/2025,5/2/2025,TST*HANDSOME HOG,Food & Drink,Sale,-12.22,
4/30/2025,5/1/2025,TST*MOSCOW ON THE HILL,Food & Drink,Sale,-54.53,
4/30/2025,5/1/2025,CHEWY.COM,Pets,Sale,-264.99,
4/30/2025,5/1/2025,SQ *NINA'S COFFEE CAFE,Food & Drink,Sale,-5.94,
4/29/2025,4/30/2025,NIC*WOODBURYCTR,Bills & Utilities,Sale,-46.99,
4/29/2025,4/30/2025,WEST WINDSOR INFOCUS,Health & Wellness,Sale,-25,
4/28/2025,4/30/2025,HOHO GOURMET RESTAURANT,Food & Drink,Sale,-62.75,
4/28/2025,4/29/2025,TARGET        00000687,Shopping,Sale,-13.72,
4/28/2025,4/29/2025,MADISON GAS &amp; ELECTRIC CO,Bills & Utilities,Sale,-14.74,
4/28/2025,4/29/2025,ROVER.COM* PET SVCS.,Pets,Sale,-25.2,
4/27/2025,4/29/2025,CASEYS #3204,Gas,Sale,-45.58,
4/27/2025,4/29/2025,KWIK TRIP #1078,Gas,Sale,-44.8,
4/25/2025,4/28/2025,RMNP BEAVER MEADOWS VISIT,Shopping,Sale,-74,
4/27/2025,4/28/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-21.78,
4/27/2025,4/28/2025,GULF OIL 92059244,Gas,Sale,-40.53,
4/27/2025,4/28/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.02,
4/27/2025,4/28/2025,GULF OIL 92059244,Gas,Sale,-16.25,
4/27/2025,4/28/2025,CUB FOODS #01591,Groceries,Sale,-23.83,
4/26/2025,4/27/2025,CONOCO - NATIONAL PARK,Gas,Sale,-22.81,
4/24/2025,4/27/2025,CIRCLE K # 44111,Gas,Sale,-29.68,
4/24/2025,4/27/2025,CNHA - CANYONLANDS NEEDLE,Shopping,Sale,-87,
4/25/2025,4/27/2025,CARL'S JR 517,Food & Drink,Sale,-13.03,
4/26/2025,4/27/2025,THE GRUBSTEAK,Food & Drink,Sale,-125.98,
4/24/2025,4/25/2025,PILOT_00592,Gas,Sale,-37.43,
4/23/2025,4/25/2025,PROPER BREWING MOAB,Food & Drink,Sale,-36.2,
4/23/2025,4/25/2025,CNHA - ARCHES NATIONAL PA,Bills & Utilities,Sale,-58,
4/24/2025,4/25/2025,LOVE'S #0517 INSIDE,Gas,Sale,-17.95,
4/21/2025,4/24/2025,RED FEATHER LODGE,Travel,Sale,-205.16,
4/23/2025,4/24/2025,VILLAGE MARKET,Groceries,Sale,-29.46,
4/22/2025,4/24/2025,TUSAYAN STORE,Food & Drink,Sale,-23.3,
4/22/2025,4/23/2025,EXXON RR MOAB NORTH 7E,Gas,Sale,-35.14,
4/22/2025,4/23/2025,CHEVRON 0376935,Gas,Sale,-35.69,
4/21/2025,4/22/2025,MASWIK CAFE/PIZZA PUB,Food & Drink,Sale,-32.02,
4/21/2025,4/22/2025,MASWIK CAFE/PIZZA PUB,Food & Drink,Sale,-9.48,
4/21/2025,4/22/2025,GRNDCYNASSNVCP,Shopping,Sale,-86.95,
4/20/2025,4/21/2025,CHEVRON 0070024,Gas,Sale,-8.55,
4/19/2025,4/21/2025,ZION CANYON BREW PUB,Food & Drink,Sale,-46.17,
4/20/2025,4/21/2025,CHEVRON 0070024,Gas,Sale,-29.13,
4/18/2025,4/20/2025,ZION CANYON BREW PUB,Food & Drink,Sale,-66.72,
4/17/2025,4/20/2025,RUBY'S GENERAL STORE,Shopping,Sale,-5.35,
